"Name","Abbreviation","Description"
"T/T in advance","T/T in advance","TT_in_advance"
"Stage payment","Stage payment","ToP_StagePayment"
"Netto 45","Netto 45","Netto_45"
"Net 90","Net 90","ToP_Net90"
"Net 7","Net 7","ToP_Net7"
"Net 60","Net 60","ToP_Net60"
"Net 45","Net 45","Net_45"
"Net 30","Net 30","ToP_Net30"
"Net 3","Net 3","ToP_Net3"
"Net 21","Net 21","Net_21"
"Net 14","Net 14","ToP_Net14"
"Net 10","Net 10","ToP_Net10"
"Letter of credit","Letter of credit","ToP_LetterOfCredit"
"End of month + 45 days","End of month + 45 days","End_of_month_+_45_days"
"EOM","EOM","ToP_EOM"
"Cash account","Cash account","ToP_CashAccount"
"CWO","CWO","ToP_CWO"
"COD","COD","ToP_COD"
"CND","CND","ToP_CND"
"CIA 60","CIA 60","ToP_CIA60"
"CIA 50","CIA 50","ToP_CIA50"
"CIA 30","CIA 30","ToP_CIA30"
"CIA","CIA","ToP_CIA"
"CBS","CBS","ToP_CBS"
"Bill of exchange","Bill of exchange","ToP_BillOfExchange"
"3% 14, Net 30","3% 14, Net 30","ToP_3prc14Net30"
"2MD","2MD","ToP_2MD"
"21 days 3%, 30 days netto","21 days 3%, 30 days netto","21_days_3%,_30_days_netto"
"21 days 2%; 30 netto","21 days 2%; 30 netto","21_days_2%;_30_netto"
"21 MFI","21 MFI","ToP_21MFI"
"2% 21; 30 net","2% 21; 30 net","2%_21;_30_net"
"2% 14, netto 30","2% 14, netto 30","2%_14,_netto_30"
"2% 14, NET 30","2% 14, NET 30","2%_14,_NET_30"
"2% 14, NET 21","2% 14, NET 21","2%_14,_NET_21"
"2% 14 Tage, Netto 30 Tage","2% 14 Tage, Netto 30 Tage","2%_14_Tage,_Netto_30_Tage"
"1MD","1MD","ToP_1MD"
"10 days 2%; 30 netto","10 days 2%; 30 netto","10_days_2%;_30_netto"
"1% 10 Net 30","1% 10 Net 30","ToP_1prc10Net30"
